"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.11475000000E+004, +5.95062211545E+001, +0.00000000000E+000
+2.11550000000E+004, +5.96014492031E+001, +0.00000000000E+000
+2.11625000000E+004, +5.96913459983E+001, +0.00000000000E+000
+2.11700000000E+004, +5.97898844388E+001, +0.00000000000E+000
+2.11775000000E+004, +5.98866713577E+001, +0.00000000000E+000
+2.11850000000E+004, +5.99829681555E+001, +0.00000000000E+000
+2.11925000000E+004, +6.00790306633E+001, +0.00000000000E+000
+2.12000000000E+004, +6.01791923661E+001, +0.00000000000E+000
+2.12075000000E+004, +6.02733843561E+001, +0.00000000000E+000
+2.12150000000E+004, +6.03727756806E+001, +0.00000000000E+000
+2.12225000000E+004, +6.04640976917E+001, +0.00000000000E+000
+2.12300000000E+004, +6.05610592295E+001, +0.00000000000E+000
+2.12375000000E+004, +6.06574978122E+001, +0.00000000000E+000
+2.12450000000E+004, +6.07577774389E+001, +0.00000000000E+000
+2.12525000000E+004, +6.08467495138E+001, +0.00000000000E+000
+2.12600000000E+004, +6.09430384379E+001, +0.00000000000E+000
+2.12675000000E+004, +6.10425124134E+001, +0.00000000000E+000
+2.12750000000E+004, +6.11379043547E+001, +0.00000000000E+000
+2.12825000000E+004, +6.12324909266E+001, +0.00000000000E+000
+2.12900000000E+004, +6.13329302326E+001, +0.00000000000E+000
+2.12975000000E+004, +6.14296091244E+001, +0.00000000000E+000
+2.13050000000E+004, +6.15225043906E+001, +0.00000000000E+000
+2.13125000000E+004, +6.16201863330E+001, +0.00000000000E+000
+2.13200000000E+004, +6.17158008599E+001, +0.00000000000E+000
+2.13275000000E+004, +6.18140283466E+001, +0.00000000000E+000
+2.13350000000E+004, +6.19090973315E+001, +0.00000000000E+000
+2.13425000000E+004, +6.20049778945E+001, +0.00000000000E+000
+2.13500000000E+004, +6.21027306960E+001, +0.00000000000E+000
+2.13575000000E+004, +6.21973251062E+001, +0.00000000000E+000
+2.13650000000E+004, +6.22961343857E+001, +0.00000000000E+000
+2.13725000000E+004, +6.23918613346E+001, +0.00000000000E+000
+2.13800000000E+004, +6.24906154474E+001, +0.00000000000E+000
+2.13875000000E+004, +6.25832562680E+001, +0.00000000000E+000
